Site name,Latitude,Longitude,L2 Ecoregion,Fuels (Scott&Burgan Model),Min Temp (K),Max Temp (K),Min RH (%),Max RH (%),Min WS (m/s),Max WS (m/s),Start Date 1 ,End Date 1,Start Date 2,End Date 2,,,,,
"Huron-Mainstee NF, MI",44.334,-83.6386,5.2,"TU2, TL6, GR2, SH7, TL9",269.26,305.37,27,85,0,2.86,0,365,,,,,,,
"Treehaven UWSP, WI",45.492762,-89.554647,5.2,"SB1, TL3",277.59,291.48,30,70,0,4.02,0,365,,,,,,,
"Cloquet, MN",46.693464,-92.530709,5.2,TL3,269.26,308.15,25,75,0.45,7.15,0,365,,,,,,,
"Itasca County, MN",47.619423,-94.343987,5.2,SB1,274.82,302.59,20,60,0,3.58,0,365,,,,,,,
"Superior NF, MN",47.7245421,-91.276077,5.2,TL6,285.93,302.59,25,60,0,5.81,0,365,,,,,,,
"Allegheny National Forest, PA",41.8436,-78.9733,5.3,"TL6, TL3, SH6, SH8",273.15,304.82,20,50,0.89,5.36,0,365,,,,,,,
"White Mountain NF, NH",44.1486,-71.453,5.3,"SB1, TU2, TL2, TL6, GR3",266.48,299.82,20,45,0,4.47,0,365,,,,,,,
"Bandelier National Monument, NM",35.7647,-106.3228,6.2,"GR1, GR2, TL8",280.37,299.82,10,30,0.89,3.58,0,365,,,,,,,
"Santa Fe NF, NM",35.8804,-106.2979,6.2,"TL9, TU2, TL3",272.04,302.59,10,60,0,4.47,0,365,,,,,,,
"Angel Fire, NM",36.31,-105.24,6.2,"TL8, SB1, GR2",274.82,305.37,20,70,0,5.36,0,365,,,,,,,
"Raton, NM",36.755333,-104.81664,6.2,"GR1, TL1",277.59,299.82,15,40,0,3.58,0,365,,,,,,,
"Banded Peak, CO",37.08108,-106.68769,6.2,SB2,274.82,302.59,50,100,0.89,4.47,0,365,,,,,,,
"San Juan NF, CO",37.5439,-107.764,6.2,"SB2, TL1",285.93,299.26,13,100,0.89,2.01,0,365,,,,,,,
